text,audio,speaker,normalized_text,output_checkpoint-483,output_checkpoint-69,output_checkpoint-966,output_checkpoint-759,output_checkpoint-1104,output_checkpoint-552,output_checkpoint-690,output_checkpoint-1932,output_checkpoint-1449,output_checkpoint-1794,output_checkpoint-138,output_checkpoint-207,output_checkpoint-2001,output_checkpoint-1863,output_checkpoint-1725,output_checkpoint-345,output_checkpoint-828,output_checkpoint-1173,output_checkpoint-414,output_checkpoint-1311,output_checkpoint-276,output_checkpoint-2070,output_checkpoint-1587,output_checkpoint-1518,output_checkpoint-1380,output_checkpoint-621,output_checkpoint-1656,output_checkpoint-1035,output_checkpoint-1242,output_checkpoint-897,openai_whisper-large-v3
Poznan nikiga ki bi biv jako loš istraživač.,data/test/MP_15_198.72-201.29.mp3,Mići Princ,Poznan nikiga ki bi biv jako loš istraživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loš istraživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Pozna nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan nikiga ki bi biv jako loši straživač., Poznan niki haki bi bio jako loš istraživač.
"Moguće je. To pari, da kad je moral istraživača dobar, unda se i njigovo otkriće istražuje.",data/test/MP_15_201.53-210.02.mp3,Geograf,"Moguće je. To pari, da kad je moral istraživača dobar, unda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je do pari da kad je moral istraživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je do pari da kad je moral istraživača dobar, onda se i njigovo otkriće istražuje."," Moguće je do pari da kad je morali straživača dobar, onda se i njigovo otkriće i stražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je do pari da kad je moral istraživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je moral istraživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je morali straživača dobar, onda se i njigovo otkriće istražuje."," Moguće je to pari da kad je moral istraživača dobar, onda se i njegovo otkriće istražuje."
Gre se na lice mista?,data/test/MP_15_210.12-211.68.mp3,Mići Princ,Gre se na lice mista?, Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista., Gre se na lice mista.
"Ne. To je teško. Ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki riče da je otkril jednu velu planinu, unda se od njega išće da donese i prezenta i velo stenje od te planine.",data/test/MP_15_211.91-230.39.mp3,Geograf,"Ne. To je teško. Ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki riče da je otkril jednu velu planinu, unda se od njega išće da donese i prezenta i velo stenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reče da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reče da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reče da je otkril jenu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško, ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako ki reči da je otkril jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."," Ne, to je teško. Ma se zato od istraživača išće da pokaže i dokazi. Za jedan primjer, ako Ki reče da je otkrijel jednu velu planinu, onda se od njega išće da donese i prezenta i velostenje od te planine."
Geograf se najedanput znemiri.,data/test/MP_15_230.71-233.01.mp3,Autor,Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se na jedan put znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri. Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se najedanput znemiri., Geograf se na jedan put znemiri.
Pa ti si došal od daleka! Ti si istraživač! Opiši mi svoju planetu!,data/test/MP_15_233.22-240.46.mp3,Geograf,Pa ti si došal od daleka! Ti si istraživač! Opiši mi svoju planetu!," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu."," Pa, ti si došal od daleka. Ti si istraživoć. Opiši mi svoju planetu."," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživač. Opiši mi svoju planetu."," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu."," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka! Ti si istraživoć! Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu."," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka! Ti si istraživoć! Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došel od daleka. Ti si istraživoć. Opiši mi svoju planetu!"," Pa, ti si došao od daleka, ti si istraživač, opiši mi svoju planetu."
"I geograf otpre svoj debeli zapisnik pa našpiči lapiš. Pripovidanje istraživača senjiva se prvo z lapišon. Da bi se pokle zapisalo s tintu, čeka se da istraživač prnese dokaze.",data/test/MP_15_240.72-254.31.mp3,Autor,"I geograf otpre svoj debeli zapisnik pa našpiči lapiš. Pripovidanje istraživača senjiva se prvo z lapišon. Da bi se pokle zapisalo s tintu, čeka se da istraživač prnese dokaze.", I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživača senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživač prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživača senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživač prinese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživača senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživač prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživača senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživač prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze., I geograf otpre svoj debeli zapisnik pa na špići lapiš. Pripovidanje istraživaća senjiva se prvo z lapišan da bi se pokle zapisalo stintu. Čeka se da istraživać prnese dokaze.," I geograf otpre svoj debeli zapisnik, pa na špići lapiš. Pripovjedanje istraživača senjiva se prvo zlapišom, da bi se pokle zapisalo stintu. Čeka se da istraživač prnese dokaze."
Unda?,data/test/MP_15_254.65-255.32.mp3,Geograf,Unda?, Unda..., Onda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda..., Unda.
"Oh! Puli mene ni baš zanimjivo, se je tako majhano. Man tri vulkana. Dva živa i jedan zagašen. Ma nigdar se ne zna.",data/test/MP_15_255.44-265.14.mp3,Mići Princ,"Oh! Puli mene ni baš zanimjivo, se je tako majhano. Man tri vulkana. Dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene je ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, puli mene ni baš zanimivo. Se je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nigdar se ne zna."," Oh, poli mene je ni baš zanimivo. Sve je tako majhano. Man tri vulkana, dva živa i jedan zagašen. Ma nikdar se ne znam."
Nikad se ne zna.,data/test/MP_15_265.63-267.28.mp3,Geograf,Nikad se ne zna., Nikad se ne zna..., Nikad sin neznatan., Nikad se ne zna..., Nikad se ne zna..., Nikad se ne zna..., Nikad se ne zna..., Nikad se ne zna..., Nikad se ne zna..., Nikad se ne zna..., Nikad se ne zna..., Nikad sin neznat., Nikad se ne zna!, Nikad se ne zna..., Nikad se ne zna..., Nikad se ne zna..., Nikad sin neznat!, Nikad se ne zna..., Nikad se ne zna..., Nikad se ne zna., Nikad se ne zna..., Nikad se ne zna..., Nikad se ne zna..., Nikad se ne zna..., Nikad se ne zna..., Nikad se ne zna..., Nikad se ne zna..., Nikad se ne zna..., Nikad se ne zna..., Nikad se ne zna..., Nikad se ne zna..., Nikad sin neznat.
Man i jedan šipak.,data/test/MP_15_267.4-268.38.mp3,Mići Princ,Man i jedan šipak., Ma nijedan šipak!, Man je jedan šipak., Ma nijedan šipak!, Ma nijedan šipak!, Ma nijedan šipak!, Ma nijedan šipak!, Ma nijedan šipak!, Ma nijedan šipak!, Ma nijedan šipak!, Ma nijedan šipak!, Man je jedan šipak. Man je jedan šipak., Ma nijedan šipak!, Ma nijedan šipak!, Ma nijedan šipak!, Ma nijedan šipak!, Man je jedan šipak., Ma nijedan šipak!, Ma nijedan šipak!, Ma nijedan šipak!, Ma nijedan šipak!, Man je jedan šipak!, Ma nijedan šipak!, Ma nijedan šipak!, Ma nijedan šipak!, Ma nijedan šipak!, Ma nijedan šipak!, Ma nijedan šipak!, Ma nijedan šipak!, Ma nijedan šipak!, Ma nijedan šipak!, Mane jedan šipak.
